ICD9,ICD10
0271,A269
0272,A280
0278,A288
0279,A289
0300,A305
0301,A301
0302,A300
0303,A303
0308,A308
0309,A309
0310,A310
0311,A311
0318,A318
0319,A319
0320,A360
0321,A361
0322,A361
0323,A362
03281,H131
03282,I410
03283,K678
03284,N338
03285,A363
03289,A368
0329,A369
0330,A370
0331,A371
0338,A378
0339,A379
0340,J020
0341,A38
035,A46
0360,A390
0361,G050
0362,A394
0363,A391
03640,A395
03641,A395
03642,A395
03643,A395
03681,H481
03682,M0109
03689,A398
0369,A399
037,A35
0380,A409
0381,A412
0382,A403
0383,A414
03840,A4158
03841,A413
03842,A4151
03843,A4152
03844,A4158
03849,A4158
0388,A418
0389,A419
0390,A422
0391,A420
0392,A421
0393,A422
0394,B479
0398,A428
0399,A429
0400,A480
0401,A488
0402,K908
0403,A488
04081,M6009
04089,A488
04100,B9548
04101,B950
04102,B951
04103,B9541
04104,B952
04105,B9542
04106,B953
04109,B9548
04110,B958
04111,B956
04119,B957
0413,B9688
0414,B962
0415,B963
0416,B964
0417,B965
04181,B9688
04182,B966
04183,B967
04184,B9688
04185,B9688
04186,B9681
04189,B9688
0419,B9688
042,B24
04500,A803
04501,A803
04502,A803
04503,A803
04510,A803
04511,A803
04512,A803
04513,A803
04520,A804
04521,A804
04522,A804
04523,A804
04590,A809
04591,A809
04592,A809
04593,A809
0460,A818
0461,A810
0462,A811
0463,A812
0468,A818
0469,A819
0470,A870
0471,A870
0478,A870
0479,A870
048,A888
0490,A872
0491,A871
0498,A888
0499,A89
0500,B03
0501,B03
0502,B03
0509,B03
0510,B080
0511,B081
0512,B081
0519,B080
0520,B011
0521,B012
0527,B018
0528,B018
0529,B019
0530,B021
05310,B022
05311,B022
05312,B022
05313,B022
05319,B022
05320,B023
05321,B023
05322,B023
05329,B023
05371,H621
05379,B028
0538,B028
0539,B029
0540,B000
05410,A600
05411,N771
05412,N770
05413,N512
05419,A600
0542,B002
0543,B004
05440,B005
05441,B005
05442,B005
05443,B005
05444,B005
05449,B005
0545,B007
0546,L998
05471,B008
05472,B003
05473,B008
05479,B008
0548,B008
0549,B009
0550,B050
0551,B052
0552,B053
05571,H192
05579,B058
0558,B058
0559,B059
05600,B060
05601,B060
05609,B060
05671,M0149
05679,B068
0568,B068
0569,B069
0570,B083
0578,B088
0579,B09
0600,A950
0601,A951
0609,A959
061,A90
0620,A830
0621,A831
0622,A832
0623,A833
0624,A834
0625,A835
0628,A838
0629,A839
0630,A840
0631,A848
0632,A841
0638,A848
0639,A849
064,A852
0650,A980
0651,A981
0652,A982
0653,A938
0654,A928
0658,A938
0659,A94
0660,A931
0661,A932
0662,A922
0663,A928
0668,A938
0669,A94
0700,B150
0701,B159
07020,B162
07021,B160
07022,B181
07023,B180
07030,B169
